Date,Close,High,Low,Open,Volume,GOOGL,Title_Sentiment
2019-01-02,51.93708419799805,52.25838704840341,50.44032682387078,50.48303383922111,30652000,51.33,0.0
2019-01-03,50.457706451416016,52.48979795071456,50.35888018130735,51.69622876067198,36822000,71.14,-0.1531
2019-01-04,53.171634674072266,53.178090737983055,51.02174644793081,51.27859094826891,41878000,41.04,-0.4939
2019-01-07,53.056419372558594,53.33501518725676,52.379551874168214,53.21086478122905,39638000,43.07,0.1779
2019-01-08,53.44823455810547,53.859422125265986,52.66608857744165,53.439793179847015,35298000,72.62,0.0
2019-01-09,53.367794036865234,53.763584092730575,52.957599077948124,53.71491734373005,23986000,58.9,0.0
2019-01-10,53.15276336669922,53.19348506601749,52.526055353335465,53.02017157386872,29128000,59.72,0.0516
2019-01-11,52.50022888183594,52.827241390352164,52.06768776862619,52.797692774834815,30416000,70.33,-0.1326
2019-01-14,51.879478454589844,52.21915304227685,51.70889666746133,51.99022040994553,22886000,76.22,0.0
2019-01-15,53.49143981933594,53.635454738779664,52.01107283610339,52.15160966509832,29272000,69.22,0.6369
2019-01-16,53.681148529052734,54.24752416479875,53.60020146000563,53.63297810846463,26636000,79.34,0.0
2019-01-17,54.124610900878906,54.218966423522225,53.31018452614541,53.60665576156301,24854000,54.92,0.0
2019-01-18,54.53976821899414,55.040939099727915,54.17426939308579,54.62617868994846,39112000,66.41,-0.1027
2019-01-22,53.162200927734375,54.20456730851409,52.81209585437609,54.03026115950947,32270000,46.21,0.0
2019-01-23,53.41297912597656,53.87779674907241,52.62735501298077,53.50137490994377,19340000,77.14,0.0
2019-01-24,53.33005142211914,53.60690820871168,52.674537389134215,53.45817625553504,27226000,76.94,0.0
2019-01-25,54.17873764038086,54.32821596515786,53.72335406270813,53.88127376602677,22382000,45.57,-0.296
2019-01-28,53.14034652709961,53.78195571433053,52.82847774657626,53.63843712203488,25686000,71.76,-0.4404
2019-01-29,52.670562744140625,53.39212640058581,52.43443144675609,53.26946497396325,20436000,43.69,-0.3182
2019-01-30,54.0828971862793,54.179238025429534,52.97994461329422,53.05841003640266,25596000,44.24,0.4939
2019-01-31,55.43911361694336,55.48678770419799,54.398236324628215,54.77515827459556,30766000,55.3,0.0
2019-02-01,55.1600227355957,55.86768155074635,54.86901491736181,55.241962456522494,29244000,70.02,0.0
2019-02-04,56.255035400390625,56.255035400390625,55.074117472086975,55.25487968814005,51530000,76.83,0.4019
2019-02-05,56.910057067871094,56.952764086127814,55.48272501794221,55.85974554550839,71044000,43.0,0.0
2019-02-06,55.38250732421875,56.960207953347364,55.260342226694355,56.591234805241946,42112000,77.78,0.3818
2019-02-07,54.56211853027344,54.86653481279246,53.93093601252303,54.83276550807552,40896000,57.68,-0.5994
2019-02-08,54.380859375,54.572052073661034,53.9582523957469,53.98059856099079,21516000,57.3,0.0
2019-02-11,54.37837600708008,54.921409022406436,54.27160847289673,54.47471684665475,21304000,69.21,0.0
2019-02-12,55.687416076660156,55.88233312076289,54.91668939665483,54.96386715650336,32182000,73.12,0.1531
2019-02-13,55.62732696533203,56.35087589557625,55.544890913846714,55.86718639852591,20996000,46.41,-0.128
2019-02-14,55.70231246948242,56.02808224531176,55.14487837694995,55.52254292988098,18952000,58.49,0.0
2019-02-15,55.304039001464844,56.19891610116407,55.15506078697294,56.11995814002343,28996000,57.1,-0.0772
2019-02-19,55.547874450683594,55.713242887771514,55.122782052480055,55.122782052480055,20928000,59.88,0.4404
2019-02-20,55.31148910522461,55.78872634091661,54.88838581276556,55.6188871560549,21756000,79.27,0.0
2019-02-21,54.4757080078125,55.21912146218688,54.254720435235,55.16449498008729,28302000,47.54,-0.5106
2019-02-22,55.14115524291992,55.184358583538504,54.407672166210844,54.67087041808242,20990000,58.3,0.0
2019-02-25,55.092987060546875,55.54687789741087,54.987208395663146,55.42074217223056,28262000,49.53,0.4019
2019-02-26,55.37753677368164,55.595046252775866,54.62220385964895,54.9117226954584,29426000,53.14,0.5267
